Country,Value
Djibouti,-
Dominica,-
Dominican Republic,90
Ecuador,92
Egypt,72
El Salvador,84
Equatorial Guinea,95
Eritrea,72
Estonia,100
Ethiopia,39
Fiji,-
Finland,-
France,-
Gabon,82
Gambia,53
Georgia,100
Germany,-
Ghana,71
Greece,97
Grenada,-
Guatemala,78
Guinea,25
Guinea-Bissau,58
Guyana,85
Haiti,49
Holy See,-
Honduras,85
Hungary,99
Iceland,-
India,69
Indonesia,93
Iran (Islamic Republic of),84
Iraq,79
Ireland,-
Israel,-
Italy,99
Jamaica,88
Japan,-
Jordan,93
Kazakhstan,100
Kenya,72
Kiribati,-
Kuwait,96
Kyrgyzstan,99
Lao People's Democratic Republic,73
Latvia,100
Lebanon,90
Lesotho,76
Liberia,43
Libya,90
